episode,optimal_decision_rate,average_reward,total_reward,gini_coefficient,utilization_std,epsilon,episode_length
1,36.666666666666664,-0.6811977122000004,-102.17965683000006,0.20634471900333828,25.725478430958844,0.9986,150
2,35.333333333333336,-0.714842444066667,-107.22636661000004,0.2127568675000029,26.276488824934624,0.99720196,150
3,36.666666666666664,-0.6713841104666669,-100.70761657000004,0.19628360047990867,23.168642020787647,0.9958058772560001,150
4,32.666666666666664,-0.7686558201999993,-115.29837302999991,0.17253686393068568,25.427932475765683,0.9944117490278418,150
5,36.666666666666664,-0.7284485498000002,-109.26728247000003,0.24794202853449931,32.08334338245537,0.9930195725792028,150
6,30.0,-0.702943720666667,-105.44155810000005,0.201537633370515,25.234857164164865,0.9916293451775919,150
7,25.333333333333336,-0.6700436737999999,-100.50655106999997,0.2138821449957209,25.243909299472605,0.9902410640943433,150
8,35.333333333333336,-0.7613780522666672,-114.20670784000008,0.21514067048859786,27.07085031071585,0.9888547266046113,150
9,34.66666666666667,-0.5981776568666667,-89.72664853,0.20377353168216294,23.907380546218956,0.9874703299873648,150
10,40.0,-0.8101195362666664,-121.51793043999997,0.26359378463310423,41.38024032434734,0.9860878715253826,150
11,38.0,-0.6354889612666678,-95.32334419000016,0.1741718725245205,15.379731384480214,0.9847073485052471,150
12,32.666666666666664,-0.7567837178666672,-113.51755768000008,0.2427568607676993,35.62941846127153,0.9833287582173398,150
13,36.0,-0.7873840360666664,-118.10760540999996,0.2771493527084923,42.782717897571786,0.9819520979558356,150
14,34.0,-0.6739685217999999,-101.09527826999998,0.22224100241137634,26.196649010149905,0.9805773650186975,150
15,33.33333333333333,-0.7696754441333328,-115.45131661999991,0.2690348187904785,38.23670043715837,0.9792045567076714,150
16,26.666666666666668,-0.7970995796666663,-119.56493694999995,0.28128908795961416,43.53584940368959,0.9778336703282807,150
17,32.666666666666664,-0.6939306322666665,-104.08959483999998,0.246858829191811,31.215149959523757,0.9764647031898211,150
18,34.0,-0.7276906515333332,-109.15359772999999,0.24294055531778214,31.5834608309515,0.9750976526053554,150
19,31.333333333333336,-0.6275368824666664,-94.13053236999995,0.22582594827422375,24.585776229416936,0.973732515891708,150
20,32.666666666666664,-0.7164376913333338,-107.46565370000006,0.24542594305703158,31.294750922885314,0.9723692903694596,150
21,30.0,-0.7611738345333334,-114.17607518000001,0.2940271370735168,40.38287577678146,0.9710079733629424,150
22,36.666666666666664,-0.596231209,-89.43468135,0.21668699492283916,21.68689587229585,0.9696485622002343,150
